"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"1323","백패커
백패커그룹","취업축하금 50만원
[아이디어스] 데이터 엔지니어 (Data Engineer) / 경력 2년 이상
백엔드/서버개발웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","2 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(173일 전 등록)"
"1324","시프트원","취업축하금 50만원
클라우드/MSA/A.I. 플랫폼 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)블록체인클라우드 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(160일 전 등록)"
"1325","가야데이터","취업축하금 50만원
시스템 엔지니어
DBASE(시스템엔지니어)인프라DevOpsWindows 외","1 ~ 5년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(165일 전 등록)"
"1326","쿼터백그룹","취업축하금 50만원
Android 앱 개발자
백엔드/서버개발앱개발웹개발AndroidiOS 외","4 ~ 19년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(269일 전 등록)"
"1327","쿼터백그룹","취업축하금 50만원
iOS 앱 개발자
앱개발웹개발프론트엔드DBA.NET 외","3 ~ 19년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(269일 전 등록)"
"1328","센드버드코리아","취업축하금 50만원
Software Engineer, Client iOS
앱개발iOSObjective-CSwift유지보수 외","3 ~ 10년
학력무관","정규직
서울 강남구","입사지원
상시채용
(237일 전 등록)"
"1329","넷마블
넷마블그룹","취업축하금 50만원
마케팅 DW/BI 엔지니어
데이터엔지니어DBA빅데이터DWETL 외","4 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(164일 전 등록)"
"1330","넷마블
넷마블그룹","취업축하금 50만원
AI엔지니어(컴퓨터 비전/그래픽스 개발자)
데이터분석가앱개발딥러닝머신러닝블록체인 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(164일 전 등록)"
"1331","넷마블
넷마블그룹","취업축하금 50만원
AI 플랫폼 백엔드 개발자
데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(164일 전 등록)"
"1332","넷마블
넷마블그룹","취업축하금 50만원
AI엔지니어(강화학습)
데이터분석가딥러닝머신러닝블록체인빅데이터 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(164일 전 등록)"
"1333","케이티넥스알
케이티그룹","취업축하금 50만원
[kt NexR] Technical Architect 채용
데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","4 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(310일 전 등록)"
"1334","비스텔리젼스","취업축하금 50만원
AI/빅데이터 - Data Scientist 연구개발
데이터분석가데이터엔지니어데이터마이닝데이터시각화딥러닝 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
(166일 전 등록)"
"1335","비스텔리젼스","취업축하금 50만원
Data Scientist (석사/신입박사) 채용
데이터분석가데이터엔지니어DBA데이터마이닝데이터시각화 외","신입 · 경력
석사↑","정규직
서울전체","입사지원
상시채용
(167일 전 등록)"
"1336","비스텔리젼스","취업축하금 50만원
Application Engineer
백엔드/서버개발웹개발SE(시스템엔지니어)JavaLinux 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(167일 전 등록)"
"1337","피플라이프
피플라이프그룹","취업축하금 50만원
데이터엔지니어 경력
데이터엔지니어백엔드/서버개발웹개발DBASE(시스템엔지니어) 외","4 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(223일 전 등록)"
"1338","아이트리온","취업축하금 50만원
스마트팩토리솔루션 개발 및 시스템 구축
데이터분석가데이터엔지니어웹개발프론트엔드데이터마이닝 외","5 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(200일 전 등록)"
"1339","티시스","취업축하금 50만원
Data Mart (BI시스템 운영)
데이터엔지니어DBA모델링H/WS/W","7 ~ 15년
학력무관","정규직
서울전체","입사지원
상시채용
(171일 전 등록)"
"1340","티시스","취업축하금 50만원
DA (Data Architect)
데이터엔지니어DBAMSSQLNoSQLOracleDB 외","4 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(171일 전 등록)"
"1341","아마존웹서비시즈코리아유한책임회사","취업축하금 50만원
[Amazon] Manager Network Scaling and Integration, South Korea
데이터엔지니어DBA머신러닝빅데이터인프라 외","6 ~ 20년
학력무관","정규직
서울전체","입사지원
상시채용
(173일 전 등록)"
"1342","아마존웹서비시즈코리아유한책임회사","취업축하금 50만원
[Amazon] Data Center Operations Manager
데이터엔지니어DBASE(시스템엔지니어)Linux네트워크 외","3 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
(173일 전 등록)"
"1343","미스터픽","취업축하금 50만원
[첫차] 프론트엔드 개발자
웹개발퍼블리셔프론트엔드DBASE(시스템엔지니어) 외","1 ~ 7년
학력무관","정규직
서울전체","입사지원
상시채용
(286일 전 등록)"
"1344","레디앤스타트","취업축하금 50만원
프로덕트 엔지니어 (Ruby on Rails 개발자)
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(265일 전 등록)"
"1345","아마존웹서비시즈코리아유한책임회사","취업축하금 50만원
[Amazon] Application Architect
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)인프라 외","경력 8년↑
학력무관","정규직
서울전체","입사지원
상시채용
(185일 전 등록)"
"1346","아마존웹서비시즈코리아유한책임회사","취업축하금 50만원
[Amazon] Application Developer
백엔드/서버개발웹개발SE(시스템엔지니어)인프라Windows 외","경력 8년↑
학력무관","정규직
서울전체","입사지원
상시채용
(185일 전 등록)"
"1347","광개토연구소","취업축하금 50만원
빅데이터 데이터 엔지니어
데이터분석가데이터엔지니어DBASE(시스템엔지니어)데이터마이닝 외","5 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(186일 전 등록)"
"1348","PM Studios","취업축하금 50만원
신규 프로젝트 백엔드 개발자
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 7년
학력무관","정규직
서울전체","입사지원
상시채용
(191일 전 등록)"
"1349","오픈소스컨설팅","취업축하금 50만원
아틀라시안(Atlassian) 개발자
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(201일 전 등록)"
"1350","오픈소스컨설팅","취업축하금 50만원
아틀라시안 솔루션 아키텍트
백엔드/서버개발웹개발SE(시스템엔지니어)인프라DevOps 외","신입 · 경력
학력무관","정규직
서울전체","입사지원
상시채용
(201일 전 등록)"
"1351","하이디어솔루션즈","취업축하금 50만원
SW개발 - 모바일 개발자
앱개발웹개발SE(시스템엔지니어)AndroidiOS 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(201일 전 등록)"
"1352","하이디어솔루션즈","취업축하금 50만원
시스템 운영 [DB 설계 및 운영자]
백엔드/서버개발웹개발DBASE(시스템엔지니어)인프라 외","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(201일 전 등록)"
"1353","큐브엔시스","취업축하금 50만원
Java 백엔드 개발 및 DBA
데이터엔지니어백엔드/서버개발웹개발DBARDBMS 외","3 ~ 10년
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(202일 전 등록)"
"1354","하이디어솔루션즈","취업축하금 50만원
시스템 운영 [시스템 설계 및 운영자]
백엔드/서버개발앱개발웹개발SE(시스템엔지니어)인프라 외","3 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(201일 전 등록)"
"1355","타키온비앤티","취업축하금 50만원
QA 엔지니어
QA/테스터GitR","3 ~ 10년
학력무관","정규직
서울전체","입사지원
상시채용
(202일 전 등록)"
"1356","아마존웹서비시즈코리아유한책임회사","취업축하금 50만원
[Amazon] Data Architect
데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","경력 5년↑
고졸↑","정규직
서울전체","입사지원
상시채용
(202일 전 등록)"
"1357","바디프랜드
바디프랜드그룹","취업축하금 50만원
개발PM
백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","6 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(208일 전 등록)"
"1358","스트리미","취업축하금 50만원
(기술중심 핀테크 기업) 백엔드 엔지니어
백엔드/서버개발웹개발프론트엔드인프라AWS 외","3 ~ 20년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(212일 전 등록)"
"1359","코리아폴리스쿨
코리아폴리스쿨그룹","취업축하금 50만원
DBA 담당자
데이터엔지니어DBA데이터마이닝빅데이터DW 외","5 ~ 12년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(242일 전 등록)"
"1360","올카커뮤니케이션","취업축하금 50만원
[모두가딜러] 프론트엔드 개발자
퍼블리셔프론트엔드SE(시스템엔지니어)JavascriptAndroid 외","3 ~ 8년
학력무관","정규직
서울전체","입사지원
상시채용
(262일 전 등록)"
"1361","노보믹스","취업축하금 50만원
sw개발 및 유지보수
백엔드/서버개발웹개발SE(시스템엔지니어)JavaOracleDB 외","신입 · 경력
대학(2,3년)↑","정규직
서울전체","입사지원
상시채용
(229일 전 등록)"
"1362","아라인","취업축하금 50만원
클라우드(SaaS) HR 솔루션 개발 및 운영
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Nginx 외","5 ~ 15년
학력무관","정규직
서울 강남구","입사지원
상시채용
(236일 전 등록)"
"1363","딥브레인에이아이","취업축하금 50만원
[인공지능기업] 머신러닝/딥러닝 엔지니어 채용
웹개발빅데이터AI(인공지능)C++C언어 외","3 ~ 20년
석사↑","정규직
서울 강남구","입사지원
상시채용
(248일 전 등록)"
"1364","데카몬","취업축하금 50만원
웹 풀스택 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)AWSJava 외","5 ~ 15년
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(240일 전 등록)"
"1365","젤리스페이스","취업축하금 50만원
백엔드 개발자
백엔드/서버개발웹개발SE(시스템엔지니어)JavaPerl 외","3 ~ 6년
대학(2,3년)↑","정규직
서울 서초구","입사지원
상시채용
(240일 전 등록)"
"1366","키박스","취업축하금 50만원
백엔드 개발자
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Python 외","1 ~ 3년
학력무관","정규직
서울 강남구","입사지원
상시채용
(242일 전 등록)"
"1367","에이치에너지","취업축하금 50만원
에너지공유플랫폼 백엔드 개발자 (신입/경력)
백엔드/서버개발웹개발SE(시스템엔지니어)ASPLinux 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
상시채용
(243일 전 등록)"
"1368","케이케이데이","취업축하금 50만원
IT 백엔드 개발엔지니어
백엔드/서버개발웹개발DBASE(시스템엔지니어)C++ 외","3 ~ 7년
대학교(4년)↑","정규직
서울 서초구","입사지원
상시채용
(243일 전 등록)"
"1369","누비랩","취업축하금 50만원
풀스택 개발자
백엔드/서버개발프론트엔드AWS클라우드API 외","3 ~ 7년
학력무관","정규직
서울 강남구","입사지원
상시채용
(254일 전 등록)"
"1370","누비랩","취업축하금 50만원
Depth 데이터 엔지니어
웹개발DBAPython알고리즘헬스케어 외","신입 · 경력
학력무관","정규직
서울 강남구","입사지원
상시채용
(254일 전 등록)"
"1371","인터파크
인터파크그룹","취업축하금 50만원
Devops 엔지니어
백엔드/서버개발웹개발SE(시스템엔지니어)WindowsAWS 외","3 ~ 9년
학력무관","정규직
서울 강남구","입사지원
상시채용
(327일 전 등록)"
"1372","아라인","취업축하금 50만원
e-HR시스템 개발
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","3 ~ 20년
학력무관","정규직
서울 강남구","입사지원
상시채용
(255일 전 등록)"
"1373","이모션글로벌
FSN그룹","취업축하금 50만원
Back-end 개발자 채용
백엔드/서버개발웹개발SE(시스템엔지니어).NETASP 외","3 ~ 10년
학력무관","정규직
서울 강남구","입사지원
상시채용
(255일 전 등록)"
"1374","포밸류소프트","취업축하금 50만원
금융권 어플리케이션 및 솔루션 개발, 유지운영 Java 개발자 모집
웹개발프론트엔드SE(시스템엔지니어)Java솔루션 외","2 ~ 10년
대학(2,3년)↑","정규직
서울 강남구","입사지원
상시채용
(261일 전 등록)"
"1375","파수
파수그룹","취업축하금 50만원
솔루션 엔지니어(해외 담당)
백엔드/서버개발웹개발NginxWindowsApache 외","4 ~ 7년
대학교(4년)↑","정규직
서울 마포구","입사지원
상시채용
(262일 전 등록)"
"1376","파수
파수그룹","취업축하금 50만원
서버 개발
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)C++ 외","3 ~ 12년
학력무관","정규직
서울 마포구","입사지원
상시채용
(262일 전 등록)"
"1377","호텔롯데 롯데면세점
롯데그룹","취업축하금 50만원
EC 개발관리 (대리~과장급)
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","5 ~ 13년
대학교(4년)↑","정규직
서울 중구","입사지원
상시채용
(264일 전 등록)"
"1378","골든플래닛","취업축하금 50만원
데이터 엔지니어
백엔드/서버개발앱개발프론트엔드AndroidiOS 외","2 ~ 5년
학력무관","정규직
서울 강남구","입사지원
상시채용
(306일 전 등록)"
"1379","레이모웍스","취업축하금 50만원
프론트엔드 엔지니어 채용
웹개발퍼블리셔프론트엔드HTMLC++ 외","5 ~ 10년
학력무관","정규직
서울 영등포구","입사지원
상시채용
(278일 전 등록)"
"1380","네오에이블","취업축하금 50만원
서버 / 백엔드 개발
백엔드/서버개발프론트엔드DBASE(시스템엔지니어)C++ 외","3 ~ 15년
대학(2,3년)↑","정규직
서울 구로구","입사지원
상시채용
(282일 전 등록)"
"1381","차봇모빌리티","취업축하금 50만원
데이터 엔지니어
백엔드/서버개발웹개발DBASE(시스템엔지니어)빅데이터 외","3 ~ 8년
학력무관","정규직
서울 성동구","입사지원
상시채용
(284일 전 등록)"
"1382","에스브이","취업축하금 50만원
Server/Back-End 개발자
백엔드/서버개발DBASE(시스템엔지니어)AWSNoSQL 외","3 ~ 15년
대학교(4년)↑","정규직
서울 영등포구","입사지원
상시채용
(285일 전 등록)"
"1383","피플펀드컴퍼니
피플펀드컴퍼니그룹","취업축하금 50만원
안드로이드 엔지니어
앱개발AndroidJavaSDK아키텍쳐 외","3 ~ 5년
학력무관","정규직
서울 강남구","입사지원
상시채용
(376일 전 등록)"
"1384","이지메디컴","취업축하금 50만원
IT 연구소 헬스케어 SCM 웹솔루션 개발자
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Java 외","2 ~ 10년
대학(2,3년)↑","정규직
서울 강남구","입사지원
상시채용
(289일 전 등록)"
"1385","태거스","취업축하금 50만원
PHP 백엔드개발자
백엔드/서버개발웹개발DBASE(시스템엔지니어)C++ 외","2 ~ 5년
학력무관","정규직
서울 종로구","입사지원
상시채용
(299일 전 등록)"
"1386","팀오투","취업축하금 50만원
[카모아] NodeJS 백엔드 개발자 채용 (NodeJS / Mysql)
백엔드/서버개발SE(시스템엔지니어)AWSMySQLAPI 외","3 ~ 10년
학력무관","정규직
서울 강남구","입사지원
상시채용
(298일 전 등록)"
"1387","인사이터","취업축하금 50만원
[경력] 백앤드(Back End) 개발자를 모십니다!
백엔드/서버개발웹개발DBASE(시스템엔지니어)AWS 외","2 ~ 5년
대학교(4년)↑","정규직
서울 마포구","입사지원
상시채용
(298일 전 등록)"
"1388","골든플래닛","취업축하금 50만원
시스템개발자 (백엔드 개발)
백엔드/서버개발웹개발SE(시스템엔지니어).NETASP 외","3 ~ 6년
학력무관","정규직
서울 강남구","입사지원
상시채용
(306일 전 등록)"
"1389","지에프앤엘","취업축하금 50만원
패션과 최신IT트랜드 접목의 웹프론트&백엔드 개발자
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)AWS 외","1 ~ 10년
학력무관","정규직
서울 서초구","입사지원
상시채용
(311일 전 등록)"
"1390","널스노트","취업축하금 50만원
[널스노트] 프론트엔드 리드 개발자
백엔드/서버개발프론트엔드DBASE(시스템엔지니어)AWS 외","3 ~ 5년
학력무관","정규직
서울 구로구","입사지원
상시채용
(311일 전 등록)"
"1391","메이븐클라우드서비스","취업축하금 50만원
[메이븐] RPA 엔지니어(Power Platform) 채용
백엔드/서버개발웹개발퍼블리셔프론트엔드.NET 외","1 ~ 20년
학력무관","정규직
서울 강남구","입사지원
상시채용
(313일 전 등록)"
"1392","시닉스","취업축하금 50만원
php 프론트엔드 개발자
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Ajax 외","2 ~ 10년
대학(2,3년)↑","정규직
서울 서초구","입사지원
상시채용
(317일 전 등록)"
"1393","케이티넥스알
케이티그룹","취업축하금 50만원
[KT NexR] 프론트엔드 개발자 채용
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울 서초구","입사지원
상시채용
(334일 전 등록)"
"1394","더리얼마케팅","취업축하금 50만원
개발팀(인공지능·머신러닝/웹풀스택) 담당자 모집
백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","4 ~ 9년
학력무관","정규직
서울 강남구","입사지원
상시채용
(327일 전 등록)"
"1395","인터파크
인터파크그룹","취업축하금 50만원
시스템 개발자(java)
백엔드/서버개발웹개발프론트엔드SE(시스템엔지니어)Java 외","3 ~ 8년
학력무관","정규직
서울 강남구","입사지원
상시채용
(327일 전 등록)"
"1396","유니트론아이에스","취업축하금 50만원
java개발자 정직원 모집
백엔드/서버개발웹개발DBASE(시스템엔지니어).NET 외","3 ~ 20년
대학(2,3년)↑","정규직
서울 성동구","입사지원
상시채용
(334일 전 등록)"
"1397","에스엠디솔루션","취업축하금 50만원
풀스택 개발자 모집
백엔드/서버개발앱개발프론트엔드DBASE(시스템엔지니어) 외","7 ~ 15년
학력무관","정규직
서울 관악구","입사지원
상시채용
(341일 전 등록)"
"1398","차트모굴 유한회사","취업축하금 50만원
Full Stack Software Engineer
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","4 ~ 15년
학력무관","정규직
서울 서초구","입사지원
상시채용
(367일 전 등록)"
"1399","셀바스에이아이
셀바스에이아이그룹","취업축하금 50만원
데이터 엔지니어 개발자
백엔드/서버개발웹개발빅데이터C++C언어 외","5 ~ 8년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
(367일 전 등록)"
"1400","파워에이치알","[주요 SI업체] 아키텍처담당(TA, AA, DA )
SE(시스템엔지니어)데이터마이닝모델링C++C언어 외","3 ~ 15년
대학교(4년)↑","정규직
서울 강남구","입사지원
내일마감
(13일 전 등록)"
"1401","파워에이치알","[그룹계열 SI업체] 그룹웨어 개발/운영(경력 3년-10년)
기술지원웹개발유지보수SE(시스템엔지니어)클라우드 외","3 ~ 10년
대학교(4년)↑","정규직
서울 용산구","입사지원
~ 04/22(금)
(11일 전 등록)"
"1402","에이치알비젼","[여의도] KBS 메타데이터, 인제스트 업무 채용
자료조사기술감독PD/AD/FD영화미술방송엔지니어 외
","경력무관
학력무관","계약직 · 파견직
서울 영등포구
240만원 이상 (면접 후 협의)","입사지원
~ 04/07(목)
(3일 전 등록)"
"1403","굿커리어","AI중견기업 Back-end 개발 주임,책임,수석급 구함(굿커리어)
게임개발데이터엔지니어백엔드/서버개발앱개발웹개발 외","3 ~ 20년
대학(2,3년)↑","정규직
서울 강남구","입사지원
~ 04/21(목)
(7일 전 등록)"
"1404","굿커리어","JAVA 웹어플리케이션개발(데이터센터 서버개발) 대리,과장급(굿
게임개발데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/28(목)
(2일 전 등록)"
"1405","굿커리어","중견기업 반도체 측정장비 어플리케이션 엔지니어 대리,과장급
로봇엔지니어연구원R&DR&D기획로봇설계 외","3 ~ 12년
대학교(4년)↑","정규직
서울 강남구","입사지원
내일마감
(13일 전 등록)"
"1406","굿커리어","외국계 반도체장비 Senior Applications Engineer과장,차장,부장
생산관리공정엔지니어공정설계제품설계구조해석/설계 외","5 ~ 19년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/27(수)
(6일 전 등록)"
"1407","굿커리어","중견기업 모바일 APP(안드로이드,IOS) 개발 파트장 과장,차장급
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","경력 7년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/21(목)
(11일 전 등록)"
"1408","피플케어코리아","[대기업계열사] 빅데이터 엔지니어 채용
딥러닝빅데이터알고리즘HadoopPython 외","경력무관
석사↑","정규직
서울 강남구","입사지원
채용시
(9시간 전 등록)"
"1409","스카우트파트너스","유명금융사 IT팀 데이터 인프라엔지니어(과장급)
AWSJavaMSSQLMySQLOracleDB 외","5 ~ 7년
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
(1일 전 등록)"
"1410","스카우트파트너스","유명금융사 IT팀 데이터엔지니어(과장급)
데이터분석가데이터엔지니어데이터마이닝데이터시각화빅데이터 외","5 ~ 7년
대학교(4년)↑","정규직
서울 영등포구","입사지원
채용시
(1일 전 등록)"
"1411","휴로넷","[삼성역] 11번가 검색서비스운영 [데이터추출/엑셀중급이상]
기술지원데이터분석가데이터엔지니어DBAQA/테스터 외
","경력무관
고졸↑","계약직 · 파견직
서울전체
207만원 이상 (면접 후 협의)","입사지원
오늘마감
(26일 전 등록)"
"1412","트루에이치알","[중견 물류그룹 IT계열사] 데이터사이언스 팀장
데이터분석가데이터엔지니어IT컨설팅데이터마이닝빅데이터 외","경력 5년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/18(월)
(12시간 전 등록)"
"1413","휴로넷","[2호선/위워크] 11번가 데이터분석 사무직 [검색서비스운영]
기술지원데이터분석가데이터엔지니어DBAQA/테스터 외
","경력무관
고졸↑","계약직 · 파견직
서울전체
207만원 이상 (면접 후 협의)","입사지원
오늘마감
(26일 전 등록)"
"1414","휴로넷","[2호선/삼성역] 11번가 검색관련 데이터 관리
기술지원데이터분석가데이터엔지니어DBAQA/테스터 외
","경력무관
고졸↑","계약직 · 파견직
서울전체
207만원 이상 (면접 후 협의)","입사지원
오늘마감
(2일 전 등록)"
"1415","휴로넷","[SQL/QA활용] 11번가 검색서비스 운영 관리 (삼성역)
기술지원데이터분석가데이터엔지니어DBAQA/테스터 외
","경력무관
고졸↑","계약직 · 파견직
서울전체
207만원 이상 (면접 후 협의)","입사지원
오늘마감
(2일 전 등록)"
"1416","휴로넷","[강남구] 11번가 검색서비스운영 [엑셀중급이상]
기술지원데이터분석가데이터엔지니어DBAQA/테스터 외
","경력무관
고졸↑","계약직 · 파견직
서울전체
207만원 이상 (면접 후 협의)","입사지원
오늘마감
(2일 전 등록)"
"1417","그레이스앤파트너스","반도체 기업 프로그램 개발 유지보수 경력자
JavaPerlPythonVisualBasic유지보수 외","신입 · 경력
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
(1일 전 등록)"
"1418","라인서치","유명 외국계 반도체 PMIC AE(application Engineer) 대리,과장급
FAE기술엔지니어설계엔지니어회로설계전자제어 외","경력 4년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1419","라인서치","유명 외국계 반도체 IP/SoC Verification Engineer
FPGAH/WS/W기술엔지니어설계엔지니어 외","경력무관
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/28(목)
(5일 전 등록)"
"1420","인큐브시스템","외국계 대기업] Big Query/GCP Consultant 경력직 채용
마케팅기획마케팅","경력 2년↑
대학교(4년)↑","정규직
서울 금천구","입사지원
~ 04/10(일)
(6일 전 등록)"
"1421","인큐브시스템","외국계 대기업] 컨텐츠 모니터링 개발 경력직 채용
크롤링PythonSQLAPIDjango","경력 5년↑
대학교(4년)↑","정규직
서울 금천구","입사지원
내일마감
(13일 전 등록)"
"1422","커리어서포트","[중견코스닥] 전자칠판개발 SW 엔지니어 모집
R&D","4 ~ 15년
대학교(4년)↑","정규직
서울 금천구","입사지원
~ 05/03(화)
(14시간 전 등록)"
"1423","인큐브시스템","외국계 대기업] 컨텐츠 모니터링 데이터 엔지니어 경력직 채용
데이터엔지니어PythonSQL빅데이터클라우드 외","경력 2년↑
대학교(4년)↑","정규직
서울 금천구","입사지원
내일마감
(13일 전 등록)"
"1424","스카우트
스카우트그룹","[울산] 상장사 화학공장 생산관리 (경력5~10년)
생산관리공정엔지니어공정관리","5 ~ 10년
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
(12일 전 등록)"
"1425","휴머레인컨설팅","긴급) 업계 최고 대기업 - AI/머신러닝 엔지니어 - 최우대
데이터분석가머신러닝PythonRTensorflow 외","경력 2년↑
학력무관","정규직
서울전체","입사지원
~ 05/01(일)
(2일 전 등록)"
"1426","휴머레인컨설팅","긴급) AI/머신러닝 엔지니어 - 업계 최고 대기업 - 최우대
데이터분석가머신러닝PythonRTensorflow 외","경력 2년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1427","휴머레인컨설팅","긴급) 업계 최고 대기업 - AI 검색엔지니어 (5년 이상) - 최우대
백엔드/서버개발IT컨설팅데이터마이닝APIDW 외","경력 5년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1428","휴머레인컨설팅","긴급) AI 검색엔지니어 (5년 이상) - 업계 최고 대기업 - 최우대
백엔드/서버개발IT컨설팅데이터마이닝APIDW 외","경력 5년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1429","휴머레인컨설팅","긴급) 업계 최고 대기업 - 소프트웨어 엔지니어(AI분야) -최우대
검색엔진딥러닝머신러닝빅데이터AI(인공지능) 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1430","휴머레인컨설팅","긴급) 소프트웨어 엔지니어(AI분야) - 업계 최고 대기업 -최우대
검색엔진딥러닝머신러닝빅데이터AI(인공지능) 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1431","휴머레인컨설팅","긴급) Data Engineer - 업계 최고 대기업 - 최우대
데이터마이닝머신러닝빅데이터DWETL 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/03(화)
(16시간 전 등록)"
"1432","휴머레인컨설팅","긴급) 업계 최고 대기업 - Data Engineer - 최우대
데이터마이닝머신러닝빅데이터DWETL 외","경력 3년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/03(화)
(16시간 전 등록)"
"1433","에이스파트너스","[태양광대기업] 데이터 엔지니어, 데이터 사이언티스트 부문
S/WDBMSIoTRDBMSDocker 외","4 ~ 13년
대학교(4년)↑","정규직
서울 중구","입사지원
~ 05/03(화)
(17시간 전 등록)"
"1434","굿커리어","[업계1위 유명 온라인 플랫폼 기업] Public Cloud Engineer
기술지원유지보수정보보안모의해킹방화벽 외","경력 3년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/27(수)
(6일 전 등록)"
"1435","굿커리어","[업계 1위 물류플랫폼 기업] DATA 엔지니어
데이터시각화머신러닝빅데이터IoTAI(인공지능) 외","5 ~ 15년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 05/01(일)
(2일 전 등록)"
"1436","스카우트
스카우트그룹","Elastic Stack 전문가 (삼성계열 SW 전문기업)
데이터분석가머신러닝빅데이터AI(인공지능)Hadoop 외","경력 2년↑
대학교(4년)↑","정규직
서울 강남구","입사지원
채용시
(18시간 전 등록)"
